rank,u,v,snap_t,y,logreg__S,logreg__S+T,logreg__S+T+C,rf__S,rf__S+T,rf__S+T+C
1,3988,905,48,1,0.99999994,0.99999154,0.9999868,0.9816991,0.97865015,0.97301656
2,2045,5712,49,0,0.9854861,0.99654454,0.9964303,0.9470681,0.9862604,0.97032106
3,3722,905,49,0,0.98819023,0.9940219,0.994627,0.89006084,0.97721225,0.9655689
4,3722,905,48,0,0.9804741,0.9882368,0.9899357,0.88412404,0.97115684,0.96445805
5,3722,2045,48,1,0.99844015,0.99945575,0.9993573,0.8567923,0.97391737,0.9641071
6,2388,2045,49,0,0.9999991,0.9999981,0.999997,0.95843947,0.9730552,0.9607014
7,3988,5712,48,0,0.99913967,0.9991193,0.9990435,0.9153284,0.9687942,0.9602857
8,2045,135,49,0,0.99724203,0.99916905,0.9992899,0.9129021,0.96437794,0.9600826
9,3451,905,48,1,0.9999737,0.99978495,0.9996914,0.9636004,0.9697122,0.95500034
10,3722,5712,48,0,0.8804014,0.97544575,0.9681507,0.75711524,0.9543399,0.953509
11,2934,2045,49,0,0.9996674,0.99996275,0.9999506,0.63282144,0.9351036,0.9473398
12,2388,2045,48,0,0.9999892,0.9999523,0.99992514,0.95877266,0.9455743,0.94682086
13,3722,5712,49,0,0.8555925,0.96928823,0.96033293,0.8253883,0.96763927,0.9438743
14,1352,2388,49,0,0.9821347,0.9711207,0.9748674,0.8861071,0.93776596,0.9388932
15,3722,135,48,1,0.9986565,0.9990139,0.99897414,0.887561,0.9465143,0.9371114
16,1352,4519,48,0,0.99302214,0.99798334,0.99740696,0.8951015,0.9603469,0.9326369
17,3988,4519,48,0,0.9414469,0.98003083,0.9786537,0.8716858,0.9250491,0.93167335
18,3640,2045,49,0,0.99924624,0.99965155,0.9994726,0.7070908,0.9510681,0.93008435
19,2934,3722,49,0,0.99884546,0.9997384,0.99975693,0.6801628,0.93691176,0.9292194
20,2934,905,49,0,0.9827862,0.99411863,0.9924641,0.6300167,0.9159939,0.92677903
21,3640,2045,48,0,0.94079953,0.9670228,0.951869,0.7429235,0.9707365,0.92565644
22,1352,5712,48,0,0.78627527,0.9637463,0.95651984,0.57933664,0.92571735,0.9255188
23,3451,3722,48,0,0.91726685,0.9752948,0.9718301,0.9449296,0.9767112,0.9229151
24,2934,135,49,0,0.97169733,0.995591,0.9943204,0.67877233,0.9154331,0.9220571
25,2942,2045,49,0,0.9999879,0.9999913,0.99998736,0.9200032,0.942694,0.918868
26,3988,5654,48,0,0.99923337,0.9987746,0.9987815,0.9446839,0.94748455,0.91619045
27,2388,5712,49,0,0.90799683,0.9504038,0.94890064,0.9073121,0.9385118,0.91197
28,2388,5712,48,0,0.8768192,0.9395997,0.93640673,0.8875967,0.9213387,0.906525
29,2934,2388,49,0,0.9994975,0.9994398,0.9992911,0.60743654,0.9146157,0.9032151
30,4532,2045,49,0,0.9012966,0.9892049,0.9801925,0.9009726,0.9814654,0.90236837
31,3722,5551,48,0,0.99712443,0.9990345,0.9993002,0.65044844,0.9048818,0.90158045
32,3640,5712,49,0,0.47093758,0.77024263,0.6695915,0.4906886,0.90440553,0.90002596
33,3722,5508,49,0,0.99964464,0.9998593,0.99985665,0.65400106,0.8900224,0.8933261
34,2045,5654,49,0,0.90544474,0.95272124,0.9513547,0.8967957,0.9331641,0.8931568
35,3988,25,48,0,0.99987245,0.99947464,0.9993234,0.90059584,0.8625334,0.89272684
36,1352,5712,49,0,0.78084666,0.934117,0.92237747,0.57924896,0.90382534,0.89175636
37,4532,3722,49,0,0.8336379,0.9647062,0.952311,0.90188694,0.98560256,0.88917303
38,3640,5712,48,0,0.48846337,0.8148955,0.720087,0.48571956,0.92259395,0.8880197
39,2934,1352,49,0,0.87033796,0.963348,0.9650876,0.66903645,0.9125601,0.88740677
40,1810,3722,49,0,0.99652654,0.99911803,0.9993794,0.7920973,0.8851056,0.8871769
41,3722,2942,49,0,0.98509574,0.9931346,0.9928331,0.4943184,0.91797394,0.88715523
42,2388,1352,49,0,0.98699254,0.9688711,0.977821,0.8954327,0.92062896,0.88588125
43,1352,2498,48,0,0.99051553,0.99521255,0.99488676,0.9313412,0.9077543,0.88321745
44,3640,905,48,0,0.6596809,0.7833946,0.76734805,0.54591537,0.94640696,0.8769329
45,3451,5654,48,0,0.88412005,0.9204323,0.9209579,0.88027143,0.91282254,0.8755902
46,3878,5712,48,0,0.8447609,0.92097366,0.9062963,0.8328349,0.91376567,0.8751424
47,5508,2045,48,1,0.6700429,0.83129853,0.7817949,0.7149171,0.8780669,0.8738317
48,4532,905,49,0,0.9065747,0.950253,0.92983234,0.9046543,0.9735909,0.87307996
49,3722,481,48,0,0.8985783,0.9652213,0.9507848,0.9140546,0.8863215,0.87248707
50,3722,1656,49,0,0.9893554,0.99625057,0.9950627,0.93657106,0.8979698,0.8718524
51,1352,481,48,0,0.922787,0.9663027,0.9591274,0.956404,0.88752395,0.87181896
52,3707,5712,48,0,0.76467246,0.8766754,0.8257614,0.52825505,0.92116797,0.87048775
53,2045,1656,49,0,0.98464084,0.995092,0.99569184,0.94983196,0.8953799,0.87011665
54,3451,135,48,0,0.96076304,0.9235809,0.8979582,0.89122623,0.9141287,0.869694
55,3722,5476,48,0,0.70329034,0.93592244,0.91213894,0.48951057,0.859443,0.8693083
56,2045,5712,48,0,0.98405606,0.99224603,0.99236673,0.93601644,0.872606,0.86887544
57,4649,2045,49,0,0.98852205,0.9974532,0.9957096,0.5912921,0.8856983,0.8672147
58,2045,5231,49,0,0.8988082,0.97976357,0.97974634,0.8400381,0.8803017,0.8649897
59,3722,2498,48,0,0.99689806,0.99746156,0.9970491,0.9420041,0.89751315,0.86024034
60,5508,905,49,0,0.7705622,0.8553869,0.83022106,0.6945464,0.9076676,0.85831547
61,361,2045,49,0,0.99412745,0.9980439,0.9972041,0.8519076,0.88439465,0.85520107
62,3707,2045,48,0,0.8236149,0.900036,0.87304556,0.71845067,0.93971,0.8549462
63,3451,481,48,0,0.99291384,0.99724436,0.9971715,0.939943,0.848029,0.8526473
64,3722,5231,49,0,0.5386341,0.86558366,0.8324371,0.5598317,0.82005435,0.85141826
65,2045,4519,49,0,0.8975312,0.96509576,0.95784307,0.8821122,0.84227246,0.85133284
66,3988,2194,48,0,0.94809717,0.93776625,0.9297528,0.9208827,0.8195294,0.85075825
67,3878,2045,48,0,0.97506964,0.9703597,0.9633251,0.7256802,0.9063551,0.8499022
68,4532,135,49,0,0.9205563,0.9853856,0.97753173,0.86167264,0.9494612,0.84771097
69,3640,2388,49,0,0.32256413,0.5002135,0.45067367,0.5061808,0.8805457,0.84743446
70,1352,2942,49,0,0.75136477,0.82499486,0.8313642,0.39521232,0.86426795,0.8468299
71,3988,2524,48,0,0.9659688,0.95111656,0.9428957,0.9377817,0.77048445,0.8466959
72,5508,905,48,0,0.73565245,0.77017134,0.75295496,0.6311044,0.82232183,0.8457803
73,3722,6,48,0,0.9760316,0.9959582,0.9951441,0.9208745,0.880274,0.84344894
74,2388,5654,48,0,0.9969705,0.9955195,0.9957565,0.95729876,0.8614654,0.8426843
75,1352,2017,48,0,0.9823416,0.99007934,0.990712,0.9112115,0.8642634,0.8425008
76,5508,135,49,0,0.9294745,0.97949606,0.9706779,0.77303207,0.88928235,0.8421003
77,4172,5712,48,0,0.9916172,0.986561,0.9857632,0.952637,0.8835672,0.8395948
78,3988,2498,48,0,0.9996696,0.9993175,0.9994899,0.9614106,0.8799166,0.8373949
79,1352,4519,49,0,0.9945229,0.99345785,0.9916514,0.898294,0.8278706,0.8356589
80,5508,2388,49,0,0.68204194,0.78125596,0.7657874,0.64122546,0.8452795,0.8338996
81,2045,1383,49,0,0.9987222,0.99854535,0.99909866,0.91314036,0.85544217,0.83367103
82,1810,1352,49,0,0.91180205,0.74066156,0.84412795,0.77225155,0.83611387,0.8326375
83,3451,5476,48,0,0.5296421,0.80353147,0.8004615,0.586368,0.8692052,0.8316578
84,2045,905,48,1,0.99991834,0.9991418,0.9992928,0.83107054,0.8611346,0.831092
85,3722,2017,48,0,0.98911077,0.99216604,0.99148154,0.9173991,0.8483958,0.83107436
86,2045,6,49,0,0.886873,0.9477085,0.9404953,0.93343717,0.85977,0.8308831
87,3640,5508,49,0,0.9936526,0.99804133,0.99790543,0.6555479,0.83595455,0.83039445
88,96,2045,49,0,0.99473876,0.99955577,0.9994501,0.8432162,0.8503184,0.8301627
89,3722,6,49,0,0.9874119,0.994435,0.99320185,0.9297488,0.8665986,0.83009994
90,3722,2498,49,0,0.9952778,0.9949441,0.99411863,0.90184814,0.85799384,0.8297492
91,3722,4675,49,0,0.72486925,0.91563916,0.92646855,0.6464456,0.8567096,0.8277934
92,1352,2028,48,0,0.9023969,0.7357068,0.82551575,0.9149757,0.8419304,0.82743675
93,1810,2388,49,0,0.99999994,0.99991506,0.99988127,0.6894658,0.81481606,0.8269423
94,5525,2045,48,0,0.90063614,0.97274226,0.9623021,0.5978378,0.89224017,0.82605964
95,3988,1991,48,0,0.97417504,0.91208524,0.8876864,0.9545685,0.7027508,0.8259938
96,3451,25,48,0,0.9926931,0.9880643,0.9845145,0.8620823,0.84767157,0.8237294
97,2388,4519,48,0,0.94679517,0.9720279,0.9682567,0.89100915,0.86623704,0.8233306
98,5508,5712,48,0,0.45103505,0.6819127,0.5946608,0.44713488,0.770876,0.8231625
99,2045,62,49,0,0.9942084,0.99613136,0.9963333,0.95496327,0.87650627,0.8231144
100,3707,905,48,0,0.9182356,0.92097783,0.9230407,0.6085485,0.91732043,0.8218009
101,1352,1334,49,0,0.99532056,0.97985035,0.980927,0.6924695,0.7938638,0.82108325
